--------- beginning of main
--------- beginning of system
09-03 13:45:45.938 15293 19853 D PhoneFallML: Locomotion cadence detected after shock (AccStd=0.2709147, GyroPeak=4.514368). Aborting false alarm.
09-03 13:45:52.804 15293 28312 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.6426, AccPeak=13.49, AccMin=6.54, AccRange=6.95, AccStd=1.72, GyroPeak=2.43, JerkPeak=93.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=30ms
09-03 13:45:53.129 15293 20751 D PhoneFallML: Activity=WALKING, FallProb=0.2064, AccPeak=13.49, AccMin=7.49, AccRange=6.00, AccStd=1.33, GyroPeak=2.30, JerkPeak=93.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=14ms
09-03 13:45:53.487 15293 20751 D PhoneFallML: Activity=WALKING, FallProb=0.2695, AccPeak=12.86, AccMin=8.09, AccRange=4.77, AccStd=0.97, GyroPeak=1.37, JerkPeak=86.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=14ms
09-03 13:45:53.868 15293 28764 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.6070, AccPeak=11.21, AccMin=8.09, AccRange=3.12, AccStd=0.52, GyroPeak=0.85, JerkPeak=80.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:45:54.208 15293 19856 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8985, AccPeak=10.10, AccMin=9.23, AccRange=0.88, AccStd=0.11, GyroPeak=0.46, JerkPeak=35.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-03 13:45:54.598 15293 19856 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9079, AccPeak=9.73, AccMin=9.62, AccRange=0.11, AccStd=0.02, GyroPeak=0.09, JerkPeak=4.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-03 13:45:54.967 15293 20751 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8512, AccPeak=10.21, AccMin=8.87, AccRange=1.34, AccStd=0.22, GyroPeak=0.45, JerkPeak=43.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-03 13:45:55.318 15293 19852 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7955, AccPeak=13.26, AccMin=8.87, AccRange=4.40, AccStd=1.26, GyroPeak=2.58, JerkPeak=110.3, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:45:55.703 15293 20751 D PhoneFallML: Activity=WALKING, FallProb=0.6225, AccPeak=13.26, AccMin=7.01, AccRange=6.25, AccStd=1.62, GyroPeak=2.58, JerkPeak=110.3, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:45:56.074 15293 28312 D PhoneFallML: Activity=WALKING, FallProb=0.3489, AccPeak=11.90, AccMin=7.01, AccRange=4.88, AccStd=1.12, GyroPeak=2.20, JerkPeak=48.2, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=4ms
09-03 13:45:56.460 15293 19853 D PhoneFallML: Activity=WALKING, FallProb=0.2065, AccPeak=10.57, AccMin=7.77, AccRange=2.80, AccStd=0.60, GyroPeak=0.93, JerkPeak=18.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-03 13:45:56.837 15293 28312 D PhoneFallML: Activity=WALKING, FallProb=0.2929, AccPeak=10.06, AccMin=9.76, AccRange=0.30, AccStd=0.06, GyroPeak=0.23, JerkPeak=8.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=12ms
09-03 13:45:57.204 15293 28312 D PhoneFallML: Activity=WALKING, FallProb=0.3847, AccPeak=10.27, AccMin=5.06, AccRange=5.21, AccStd=1.15, GyroPeak=1.91, JerkPeak=43.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=13ms
09-03 13:45:57.572 15293 28312 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.6578, AccPeak=17.09, AccMin=5.06, AccRange=12.02, AccStd=2.40, GyroPeak=3.83, JerkPeak=345.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=4ms
09-03 13:45:57.937 15293 19856 D PhoneFallML: Activity=WALKING, FallProb=0.2016, AccPeak=17.09, AccMin=5.51, AccRange=11.58, AccStd=2.39, GyroPeak=4.06, JerkPeak=464.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=4ms
09-03 13:45:58.314 15293 19853 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.5212, AccPeak=14.79, AccMin=5.51, AccRange=9.28, AccStd=1.39, GyroPeak=4.06, JerkPeak=464.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=3ms
09-03 13:45:58.684 15293 19852 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9323, AccPeak=11.09, AccMin=9.37, AccRange=1.72, AccStd=0.23, GyroPeak=0.61, JerkPeak=57.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:45:59.049 15293 28764 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9547, AccPeak=10.00, AccMin=9.35, AccRange=0.65, AccStd=0.09, GyroPeak=0.28, JerkPeak=32.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:45:59.432 15293 28312 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8842, AccPeak=12.09, AccMin=8.65, AccRange=3.43, AccStd=0.64, GyroPeak=2.12, JerkPeak=66.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=6ms
09-03 13:45:59.798 15293 20751 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8487, AccPeak=13.33, AccMin=8.09, AccRange=5.24, AccStd=1.06, GyroPeak=2.35, JerkPeak=66.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=11ms
09-03 13:46:00.154 15293 19913 D PhoneFallML: Activity=WALKING, FallProb=0.5644, AccPeak=13.33, AccMin=8.09, AccRange=5.24, AccStd=1.21, GyroPeak=2.35, JerkPeak=49.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:46:00.537 15293 20751 D PhoneFallML: Activity=WALKING, FallProb=0.2508, AccPeak=11.06, AccMin=8.13, AccRange=2.92, AccStd=0.68, GyroPeak=2.27, JerkPeak=34.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=12ms
