--------- beginning of main
--------- beginning of system
09-02 19:02:22.601 22240  1837 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8928, AccPeak=12.22, AccMin=7.04, AccRange=5.18, AccStd=1.21, GyroPeak=0.95, JerkPeak=208.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=8ms
09-02 19:02:22.979 22240  1837 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7476, AccPeak=14.07, AccMin=7.04, AccRange=7.04, AccStd=1.55, GyroPeak=2.73, JerkPeak=170.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-02 19:02:23.383 22240  1839 D PhoneFallML: Activity=WALKING, FallProb=0.4509, AccPeak=16.02, AccMin=7.18, AccRange=8.84, AccStd=1.87, GyroPeak=2.73, JerkPeak=203.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=6ms
09-02 19:02:23.784 22240  2309 D PhoneFallML: Activity=WALKING, FallProb=0.6678, AccPeak=16.02, AccMin=7.18, AccRange=8.84, AccStd=1.39, GyroPeak=2.73, JerkPeak=203.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=9ms
09-02 19:02:24.167 22240  2309 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8673, AccPeak=11.26, AccMin=8.61, AccRange=2.65, AccStd=0.64, GyroPeak=0.64, JerkPeak=106.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:02:24.581 22240  1839 D PhoneFallML: Activity=WALKING, FallProb=0.3662, AccPeak=11.96, AccMin=4.40, AccRange=7.55, AccStd=1.12, GyroPeak=2.58, JerkPeak=217.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=7ms
09-02 19:02:24.960 22240  2309 D PhoneFallML: Activity=WALKING, FallProb=0.1893, AccPeak=16.12, AccMin=4.40, AccRange=11.71, AccStd=2.31, GyroPeak=3.19, JerkPeak=217.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-02 19:02:25.318 22240  2309 D PhoneFallML: Activity=WALKING, FallProb=0.2327, AccPeak=16.12, AccMin=7.23, AccRange=8.88, AccStd=2.18, GyroPeak=3.19, JerkPeak=166.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:02:25.672 22240  1837 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.5369, AccPeak=12.04, AccMin=7.23, AccRange=4.80, AccStd=1.31, GyroPeak=1.52, JerkPeak=207.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-02 19:02:25.936 22240 22240 W PhoneFallML: Countdown expired! Escalating to FALL_CONFIRMED -> SOS_TRIGGERED
09-02 19:02:26.210 22240  1839 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7052, AccPeak=12.04, AccMin=7.51, AccRange=4.53, AccStd=1.07, GyroPeak=0.46, JerkPeak=207.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=69ms
09-02 19:02:26.509 22240  3006 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.6839, AccPeak=15.88, AccMin=5.35, AccRange=10.53, AccStd=1.64, GyroPeak=4.24, JerkPeak=258.3, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=17ms
09-02 19:02:26.875 22240  2159 D PhoneFallML: Activity=WALKING, FallProb=0.3702, AccPeak=16.07, AccMin=5.35, AccRange=10.72, AccStd=2.49, GyroPeak=4.24, JerkPeak=258.3, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=16ms
09-02 19:02:27.194 22240  1839 D PhoneFallML: Activity=WALKING, FallProb=0.5092, AccPeak=16.07, AccMin=5.41, AccRange=10.66, AccStd=2.10, GyroPeak=2.45, JerkPeak=249.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=8ms
09-02 19:02:27.550 22240 27959 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8157, AccPeak=11.45, AccMin=6.93, AccRange=4.52, AccStd=1.04, GyroPeak=1.45, JerkPeak=135.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=34ms
09-02 19:02:27.915 22240  1839 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.8493, AccPeak=11.45, AccMin=8.65, AccRange=2.80, AccStd=0.75, GyroPeak=0.65, JerkPeak=135.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=7ms
09-02 19:02:28.196 22240  1837 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.7880, AccPeak=11.32, AccMin=8.41, AccRange=2.91, AccStd=0.80, GyroPeak=0.76, JerkPeak=122.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=6ms
09-02 19:02:28.595 22240  1837 D PhoneFallML: Activity=WALKING, FallProb=0.1592, AccPeak=11.83, AccMin=6.53, AccRange=5.30, AccStd=1.16, GyroPeak=2.35, JerkPeak=131.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=3ms
09-02 19:02:29.067 22240  1839 D PhoneFallML: Activity=WALKING, FallProb=0.0783, AccPeak=25.68, AccMin=6.53, AccRange=19.16, AccStd=1.95, GyroPeak=3.31, JerkPeak=862.3, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=128ms
09-02 19:02:29.362 22240  1837 D PhoneFallML: Activity=WALKING, FallProb=0.2309, AccPeak=25.68, AccMin=8.11, AccRange=17.58, AccStd=1.70, GyroPeak=3.31, JerkPeak=862.3, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=5ms
09-02 19:02:29.664 22240  1839 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7692, AccPeak=10.14, AccMin=9.35, AccRange=0.79, AccStd=0.16, GyroPeak=0.61, JerkPeak=23.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=3ms
09-02 19:02:30.030 22240  1837 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8344, AccPeak=10.14, AccMin=9.43, AccRange=0.72, AccStd=0.10, GyroPeak=0.58, JerkPeak=12.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=43ms
09-02 19:02:30.341 22240 29345 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8573, AccPeak=9.84, AccMin=9.62, AccRange=0.22, AccStd=0.04, GyroPeak=0.65, JerkPeak=7.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=52ms
