session_id,timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,pitch,roll,yaw,latitude,longitude,altitude,speed,accuracy,heartRate,spo2,pressure,activity
SESSION_20260901_205752_B498,1788276473010,0.23463176,-0.24899697,9.524135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473010,0.23463176,-0.24899697,9.524135,-0.015882496,-0.008552114,-0.004886922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473030,0.17717093,-0.24181437,9.512163,-0.015882496,-0.008552114,-0.004886922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473030,0.17717093,-0.24181437,9.512163,-0.2687807,0.3933972,-0.31398472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473030,0.17717093,-0.24181437,9.512163,-0.2687807,0.3933972,-0.31398472,1.8730634,-1.2108381,-11.407623,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473050,0.22984336,-0.36391866,9.49301,-0.2687807,0.3933972,-0.31398472,1.8730634,-1.2108381,-11.407623,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473050,0.22984336,-0.36391866,9.49301,-0.52778757,-0.1881465,0.16249016,1.8730634,-1.2108381,-11.407623,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473050,0.22984336,-0.36391866,9.49301,-0.52778757,-0.1881465,0.16249016,1.7985331,-1.2186584,-11.011662,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473070,0.2896984,-0.28491,9.516952,-0.52778757,-0.1881465,0.16249016,1.7985331,-1.2186584,-11.011662,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473070,0.2896984,-0.28491,9.516952,-0.06963864,-0.03176499,0.019547688,1.7985331,-1.2186584,-11.011662,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473070,0.2896984,-0.28491,9.516952,-0.06963864,-0.03176499,0.019547688,1.7723795,-1.2713403,-11.182377,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473090,0.272939,-0.14844051,9.52174,-0.06963864,-0.03176499,0.019547688,1.7723795,-1.2713403,-11.182377,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473090,0.272939,-0.14844051,9.52174,-0.007330383,-0.0036651916,0.0012217305,1.7723795,-1.2713403,-11.182377,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473090,0.272939,-0.14844051,9.52174,-0.007330383,-0.0036651916,0.0012217305,1.684477,-1.3448709,-11.191665,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473110,0.2777274,-0.14844051,9.483433,-0.007330383,-0.0036651916,0.0012217305,1.684477,-1.3448709,-11.191665,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
