--------- beginning of main
--------- beginning of system
09-03 14:21:16.183 22555 25661 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9514, AccPeak=10.32, AccMin=9.81, AccRange=0.51, AccStd=0.09, GyroPeak=0.03, JerkPeak=16.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-03 14:21:16.571 22555 25636 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9520, AccPeak=10.32, AccMin=9.81, AccRange=0.52, AccStd=0.08, GyroPeak=0.03, JerkPeak=16.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-03 14:21:16.938 22555 25661 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9534, AccPeak=10.23, AccMin=9.78, AccRange=0.44, AccStd=0.06, GyroPeak=0.04, JerkPeak=19.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-03 14:21:17.329 22555 25633 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9528, AccPeak=10.39, AccMin=9.78, AccRange=0.60, AccStd=0.10, GyroPeak=0.04, JerkPeak=19.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=8ms
09-03 14:21:17.686 22555 25632 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9494, AccPeak=10.39, AccMin=9.80, AccRange=0.58, AccStd=0.08, GyroPeak=0.04, JerkPeak=19.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=3ms
09-03 14:21:18.038 22555 25630 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9504, AccPeak=10.24, AccMin=9.80, AccRange=0.44, AccStd=0.06, GyroPeak=0.03, JerkPeak=19.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=3ms
09-03 14:21:18.443 22555 25633 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9447, AccPeak=10.26, AccMin=9.80, AccRange=0.46, AccStd=0.09, GyroPeak=0.03, JerkPeak=22.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-03 14:21:18.792 22555 25633 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9314, AccPeak=10.31, AccMin=9.81, AccRange=0.50, AccStd=0.10, GyroPeak=0.03, JerkPeak=24.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-03 14:21:19.155 22555 25633 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9662, AccPeak=10.42, AccMin=9.51, AccRange=0.91, AccStd=0.16, GyroPeak=1.24, JerkPeak=40.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=2ms
09-03 14:21:19.534 22555 25633 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9617, AccPeak=10.42, AccMin=9.51, AccRange=0.91, AccStd=0.15, GyroPeak=1.35, JerkPeak=40.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-03 14:21:19.893 22555 25661 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9235, AccPeak=11.97, AccMin=8.52, AccRange=3.45, AccStd=0.66, GyroPeak=1.35, JerkPeak=168.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-03 14:21:20.315 22555 25661 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8356, AccPeak=11.97, AccMin=8.52, AccRange=3.45, AccStd=0.89, GyroPeak=0.49, JerkPeak=168.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-03 14:21:20.618 22555 25661 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8938, AccPeak=11.94, AccMin=8.81, AccRange=3.13, AccStd=0.61, GyroPeak=0.35, JerkPeak=148.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=3ms
09-03 14:21:20.965 22555 25633 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8488, AccPeak=12.00, AccMin=8.78, AccRange=3.21, AccStd=0.53, GyroPeak=0.51, JerkPeak=155.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-03 14:21:21.340 22555 25631 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.6717, AccPeak=12.49, AccMin=8.72, AccRange=3.76, AccStd=0.75, GyroPeak=0.51, JerkPeak=155.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-03 14:21:21.706 22555 25632 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.5994, AccPeak=12.49, AccMin=8.72, AccRange=3.76, AccStd=0.63, GyroPeak=0.48, JerkPeak=150.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=37ms
09-03 14:21:22.003 22555 25632 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7857, AccPeak=11.65, AccMin=9.14, AccRange=2.50, AccStd=0.46, GyroPeak=0.21, JerkPeak=122.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=1ms
09-03 14:21:22.329 22555 25632 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8487, AccPeak=11.98, AccMin=8.77, AccRange=3.21, AccStd=0.52, GyroPeak=0.10, JerkPeak=126.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=3ms
09-03 14:21:22.662 22555 25633 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8797, AccPeak=11.98, AccMin=8.77, AccRange=3.21, AccStd=0.44, GyroPeak=0.15, JerkPeak=126.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-03 14:21:23.012 22555 25632 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8798, AccPeak=11.74, AccMin=9.15, AccRange=2.59, AccStd=0.40, GyroPeak=0.24, JerkPeak=107.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=26ms
09-03 14:21:23.332 22555 25632 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.6807, AccPeak=11.84, AccMin=9.00, AccRange=2.84, AccStd=0.59, GyroPeak=0.34, JerkPeak=131.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=2ms
09-03 14:21:23.704 22555 25636 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7042, AccPeak=11.84, AccMin=8.51, AccRange=3.33, AccStd=0.62, GyroPeak=0.34, JerkPeak=162.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=3ms
09-03 14:21:24.096 22555 25633 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9130, AccPeak=11.78, AccMin=8.51, AccRange=3.28, AccStd=0.59, GyroPeak=0.47, JerkPeak=162.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=6ms
09-03 14:21:24.486 22555 25632 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9011, AccPeak=11.98, AccMin=9.04, AccRange=2.94, AccStd=0.54, GyroPeak=0.47, JerkPeak=123.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-03 14:21:24.881 22555 25636 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8450, AccPeak=11.98, AccMin=8.87, AccRange=3.11, AccStd=0.51, GyroPeak=0.43, JerkPeak=140.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=4ms
09-03 14:21:25.277 22555 25636 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8020, AccPeak=11.82, AccMin=8.87, AccRange=2.95, AccStd=0.54, GyroPeak=0.20, JerkPeak=140.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=5ms
09-03 14:21:25.465 22555 22555 W PhoneFallML: Countdown expired! Escalating to FALL_CONFIRMED -> SOS_TRIGGERED
09-03 14:21:25.881 22555 25631 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7561, AccPeak=11.82, AccMin=9.16, AccRange=2.66, AccStd=0.49, GyroPeak=0.13, JerkPeak=109.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=59ms
09-03 14:21:26.262 22555 25631 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8088, AccPeak=11.71, AccMin=9.47, AccRange=2.24, AccStd=0.58, GyroPeak=0.11, JerkPeak=96.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=5ms
09-03 14:21:26.577 22555 25661 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8843, AccPeak=11.71, AccMin=9.26, AccRange=2.45, AccStd=0.56, GyroPeak=0.11, JerkPeak=99.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=3ms
09-03 14:21:26.906 22555 25632 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7684, AccPeak=11.57, AccMin=9.26, AccRange=2.31, AccStd=0.58, GyroPeak=0.09, JerkPeak=99.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=3ms
09-03 14:21:27.274 22555 25630 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.6370, AccPeak=11.57, AccMin=9.56, AccRange=2.01, AccStd=0.52, GyroPeak=0.07, JerkPeak=96.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=4ms
09-03 14:21:27.583 22555 25661 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8351, AccPeak=11.44, AccMin=9.50, AccRange=1.95, AccStd=0.37, GyroPeak=0.07, JerkPeak=95.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=4ms
09-03 14:21:27.922 22555 25630 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8819, AccPeak=11.50, AccMin=9.50, AccRange=2.00, AccStd=0.45, GyroPeak=0.07, JerkPeak=95.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=4ms
