--------- beginning of main
09-02 16:45:38.627 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.3221, AccPeak=17.54, AccMin=8.25, AccRange=9.29, AccStd=2.31, GyroPeak=5.62, JerkPeak=137.1, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=31ms
09-02 16:45:38.961 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.3420, AccPeak=17.54, AccMin=8.60, AccRange=8.95, AccStd=2.51, GyroPeak=5.62, JerkPeak=176.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:39.761 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.4200, AccPeak=15.28, AccMin=8.60, AccRange=6.68, AccStd=1.40, GyroPeak=4.43, JerkPeak=176.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=76ms
09-02 16:45:39.990 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.4835, AccPeak=11.23, AccMin=8.54, AccRange=2.69, AccStd=0.71, GyroPeak=4.00, JerkPeak=59.5, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:40.250 23997 24211 D WatchFallML: Activity=FALL_BACKWARD, FallProb=0.5511, AccPeak=12.87, AccMin=8.47, AccRange=4.40, AccStd=1.16, GyroPeak=6.99, JerkPeak=59.5, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:40.653 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.5300, AccPeak=12.87, AccMin=8.38, AccRange=4.49, AccStd=1.17, GyroPeak=6.99, JerkPeak=37.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:40.930 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.3800, AccPeak=13.21, AccMin=7.85, AccRange=5.36, AccStd=1.48, GyroPeak=3.69, JerkPeak=99.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=1ms
09-02 16:45:41.207 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.5320, AccPeak=13.21, AccMin=7.23, AccRange=5.98, AccStd=1.74, GyroPeak=4.53, JerkPeak=99.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:41.527 23997 24211 D WatchFallML: Activity=FALL_BACKWARD, FallProb=0.6470, AccPeak=15.52, AccMin=7.23, AccRange=8.29, AccStd=2.57, GyroPeak=4.53, JerkPeak=98.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:41.928 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.5203, AccPeak=15.52, AccMin=5.39, AccRange=10.13, AccStd=3.00, GyroPeak=4.65, JerkPeak=98.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:42.286 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.4910, AccPeak=15.54, AccMin=5.39, AccRange=10.15, AccStd=2.75, GyroPeak=5.18, JerkPeak=185.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:42.557 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.2734, AccPeak=15.54, AccMin=6.35, AccRange=9.19, AccStd=2.77, GyroPeak=5.70, JerkPeak=238.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=3ms
