--------- beginning of main
09-02 16:43:31.181 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.68, AccMin=9.47, AccRange=0.21, AccStd=0.05, GyroPeak=0.01, JerkPeak=9.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=55ms
09-02 16:43:31.674 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.71, AccMin=9.47, AccRange=0.24, AccStd=0.06, GyroPeak=0.01, JerkPeak=9.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=149ms
09-02 16:43:31.897 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.71, AccMin=9.45, AccRange=0.26, AccStd=0.05, GyroPeak=0.01, JerkPeak=8.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=27ms
09-02 16:43:32.058 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.68, AccMin=9.45, AccRange=0.23, AccStd=0.05, GyroPeak=0.01, JerkPeak=8.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=27ms
09-02 16:43:32.303 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.68, AccMin=9.44, AccRange=0.24, AccStd=0.06, GyroPeak=0.01, JerkPeak=10.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=51ms
09-02 16:43:32.912 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5700, AccPeak=9.69, AccMin=9.36, AccRange=0.33, AccStd=0.07, GyroPeak=0.02, JerkPeak=11.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=17ms
09-02 16:43:32.939 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.65, AccMin=9.44, AccRange=0.21, AccStd=0.06, GyroPeak=0.01, JerkPeak=10.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=204ms
09-02 16:43:33.336 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5900, AccPeak=9.69, AccMin=9.32, AccRange=0.37, AccStd=0.07, GyroPeak=0.02, JerkPeak=12.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=30ms
09-02 16:43:33.795 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.78, AccMin=9.32, AccRange=0.46, AccStd=0.08, GyroPeak=0.02, JerkPeak=15.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=118ms
09-02 16:43:34.226 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5700, AccPeak=9.78, AccMin=9.46, AccRange=0.32, AccStd=0.08, GyroPeak=0.02, JerkPeak=15.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=117ms
