--------- beginning of main
09-03 14:03:16.391  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.0600, AccPeak=9.72, AccMin=9.49, AccRange=0.23, AccStd=0.05, GyroPeak=0.05, JerkPeak=7.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 14:03:16.972  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.0700, AccPeak=9.66, AccMin=9.49, AccRange=0.16, AccStd=0.04, GyroPeak=0.05, JerkPeak=6.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=16ms
09-03 14:03:17.219  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.0301, AccPeak=11.89, AccMin=7.77, AccRange=4.12, AccStd=0.80, GyroPeak=0.39, JerkPeak=204.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=45ms
09-03 14:03:17.315  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.0701, AccPeak=11.89, AccMin=7.77, AccRange=4.12, AccStd=0.91, GyroPeak=0.47, JerkPeak=204.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=7ms
09-03 14:03:17.439  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.0401, AccPeak=10.95, AccMin=9.09, AccRange=1.86, AccStd=0.41, GyroPeak=0.47, JerkPeak=38.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 14:03:17.592  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.0701, AccPeak=9.87, AccMin=9.44, AccRange=0.43, AccStd=0.09, GyroPeak=0.27, JerkPeak=10.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 14:03:17.750  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1085, AccPeak=10.94, AccMin=9.09, AccRange=1.85, AccStd=0.42, GyroPeak=2.31, JerkPeak=25.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=7ms
09-03 14:03:18.099  5595  5795 D WatchFallML: Activity=STANDING, FallProb=0.1816, AccPeak=10.94, AccMin=8.55, AccRange=2.38, AccStd=0.52, GyroPeak=4.14, JerkPeak=55.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=15ms
09-03 14:03:18.644  5595  5795 D WatchFallML: Activity=STANDING, FallProb=0.2424, AccPeak=11.43, AccMin=8.24, AccRange=3.18, AccStd=0.69, GyroPeak=4.14, JerkPeak=80.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=166ms
09-03 14:03:18.724  5595  5795 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.5016, AccPeak=12.59, AccMin=8.24, AccRange=4.35, AccStd=1.20, GyroPeak=3.80, JerkPeak=109.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=4ms
09-03 14:03:19.087  5595  8531 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5306, AccPeak=12.59, AccMin=9.08, AccRange=3.52, AccStd=0.79, GyroPeak=3.80, JerkPeak=109.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=23ms
09-03 14:03:19.900  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.4226, AccPeak=10.98, AccMin=9.08, AccRange=1.90, AccStd=0.44, GyroPeak=1.35, JerkPeak=68.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=28ms
09-03 14:03:20.482  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.3319, AccPeak=10.98, AccMin=8.60, AccRange=2.38, AccStd=0.53, GyroPeak=0.89, JerkPeak=73.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=24ms
