--------- beginning of main
09-03 13:46:58.925  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=9.92, AccMin=9.58, AccRange=0.34, AccStd=0.07, GyroPeak=0.05, JerkPeak=11.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:59.215  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1500, AccPeak=9.92, AccMin=9.62, AccRange=0.30, AccStd=0.07, GyroPeak=0.05, JerkPeak=11.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:59.503  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=9.99, AccMin=9.56, AccRange=0.43, AccStd=0.10, GyroPeak=0.10, JerkPeak=12.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=31ms
09-03 13:46:59.639  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=10.04, AccMin=9.53, AccRange=0.50, AccStd=0.15, GyroPeak=0.12, JerkPeak=12.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:00.048  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1800, AccPeak=10.04, AccMin=9.53, AccRange=0.50, AccStd=0.13, GyroPeak=0.12, JerkPeak=11.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=16ms
09-03 13:47:00.433  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.2900, AccPeak=9.92, AccMin=9.53, AccRange=0.39, AccStd=0.08, GyroPeak=0.06, JerkPeak=9.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=21ms
09-03 13:47:00.767  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1700, AccPeak=9.91, AccMin=9.53, AccRange=0.38, AccStd=0.08, GyroPeak=0.07, JerkPeak=11.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:01.146  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1500, AccPeak=9.91, AccMin=9.59, AccRange=0.33, AccStd=0.08, GyroPeak=0.07, JerkPeak=11.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:47:01.505  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1500, AccPeak=9.85, AccMin=9.55, AccRange=0.31, AccStd=0.09, GyroPeak=0.06, JerkPeak=9.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:01.886  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1400, AccPeak=10.05, AccMin=9.55, AccRange=0.51, AccStd=0.10, GyroPeak=0.07, JerkPeak=8.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=32ms
09-03 13:47:02.119  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1400, AccPeak=10.05, AccMin=9.49, AccRange=0.57, AccStd=0.11, GyroPeak=0.14, JerkPeak=9.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=12ms
09-03 13:47:02.296  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1201, AccPeak=10.05, AccMin=9.49, AccRange=0.57, AccStd=0.11, GyroPeak=0.14, JerkPeak=9.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:02.541  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1500, AccPeak=9.93, AccMin=9.47, AccRange=0.46, AccStd=0.12, GyroPeak=0.11, JerkPeak=10.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:47:02.940  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1400, AccPeak=9.93, AccMin=9.47, AccRange=0.46, AccStd=0.11, GyroPeak=0.11, JerkPeak=10.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=37ms
09-03 13:47:03.836  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1700, AccPeak=9.86, AccMin=9.48, AccRange=0.38, AccStd=0.08, GyroPeak=0.06, JerkPeak=8.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:47:04.143  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1500, AccPeak=9.86, AccMin=9.50, AccRange=0.35, AccStd=0.08, GyroPeak=0.05, JerkPeak=9.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:47:04.645  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1400, AccPeak=9.86, AccMin=9.50, AccRange=0.36, AccStd=0.07, GyroPeak=0.06, JerkPeak=9.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=72ms
09-03 13:47:04.711  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1400, AccPeak=9.87, AccMin=9.54, AccRange=0.33, AccStd=0.08, GyroPeak=0.10, JerkPeak=9.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:47:04.943  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=9.89, AccMin=9.54, AccRange=0.34, AccStd=0.09, GyroPeak=0.10, JerkPeak=11.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:47:05.151  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1500, AccPeak=9.89, AccMin=9.52, AccRange=0.37, AccStd=0.11, GyroPeak=0.11, JerkPeak=15.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:47:05.662  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1200, AccPeak=9.95, AccMin=9.51, AccRange=0.44, AccStd=0.12, GyroPeak=0.17, JerkPeak=15.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:05.896  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1000, AccPeak=9.95, AccMin=9.51, AccRange=0.44, AccStd=0.11, GyroPeak=0.17, JerkPeak=12.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=11ms
09-03 13:47:06.137  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1401, AccPeak=9.94, AccMin=9.54, AccRange=0.40, AccStd=0.09, GyroPeak=0.13, JerkPeak=9.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=77ms
