device,pipeline_code,pipeline_name,model,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_fall_precision,val_fall_recall,val_fall_f1,val_non_fall_f1,params,model_size_kb,latency_ms,train_duration_sec
WATCH,P01,01_raw_standardized,1D_CNN,0.6764589122667726,0.5856847921665611,0.5979517485042631,0.5798918847866114,0.664030174472942,0.7139689578713969,0.7796610169491526,0.7453703703703703,0.8670694864048338,38734,158.91015625,0.01983834656130057,35.16899609565735
WATCH,P01,01_raw_standardized,BiLSTM,0.7622072250893211,0.6131259309701349,0.6266502143865276,0.6125307327656265,0.7584488862467098,0.8157248157248157,0.8038740920096852,0.8097560975609757,0.9081812831077104,139534,549.9345703125,0.10047355468941532,88.66816306114197
WATCH,P01,01_raw_standardized,RandomForest,0.7518856689162366,0.6091702693514467,0.6293998941279961,0.6065208078295727,0.7415449158241738,0.8320209973753281,0.7675544794188862,0.7984886649874056,0.9072463768115943,N/A,44314.8759765625,0.20429317687558068,0.6669750213623047
WATCH,P02,02_robust_scaling,1D_CNN,0.6780468439857086,0.5960932160332595,0.5905897907768367,0.5810292032480456,0.6653556926616225,0.7163841807909604,0.7675544794188862,0.7410870835768556,0.8668470093177036,38734,158.91015625,0.018928789058918483,32.07430076599121
WATCH,P02,02_robust_scaling,BiLSTM,0.6978959904724097,0.5623753103144628,0.5937367848996343,0.5709886865476624,0.6956022205772425,0.7779171894604768,0.7506053268765133,0.7640172520024646,0.8878477306002929,139534,549.9345703125,0.1049213153146411,88.04328775405884
WATCH,P02,02_robust_scaling,RandomForest,0.7522826518459707,0.6265129335686075,0.6309747006358124,0.6157899196148339,0.7430282100153531,0.8384615384615385,0.7917675544794189,0.8144458281444583,0.9131701631701632,N/A,44041.2197265625,0.20691414062639524,0.649090051651001
WATCH,P03,03_signal_filtering,1D_CNN,0.664946407304486,0.5591088996661975,0.5523283525373636,0.5446190819819028,0.6516591959631681,0.6993166287015945,0.7433414043583535,0.7206572769953051,0.8572285542891421,38734,158.91015625,0.019033906251024746,31.921716928482056
WATCH,P03,03_signal_filtering,BiLSTM,0.7300516077808654,0.5615883313657382,0.5712574847607541,0.5619082938794634,0.7252509186548861,0.829105473965287,0.7518159806295399,0.7885714285714286,0.9038406006352874,139534,549.9345703125,0.1072818096872652,86.45684504508972
WATCH,P03,03_signal_filtering,RandomForest,0.7526796347757047,0.6183148848705491,0.6302555706303038,0.6109346338577027,0.7432002441312437,0.8371501272264631,0.7966101694915254,0.8163771712158809,0.9136018680677175,N/A,44376.8916015625,0.20722447906337038,0.675429105758667
WATCH,P04,04_gravity_motion_separation,1D_CNN,0.6804287415641127,0.5788553729485327,0.5862706162411807,0.56596004124778,0.6628398767985606,0.7053669222343921,0.7796610169491526,0.7406555491661875,0.8632919066383753,38734,158.91015625,0.01840171874846419,31.557030200958252
WATCH,P04,04_gravity_motion_separation,BiLSTM,0.7582373957919809,0.607360221230261,0.6264411666960245,0.6076991823582709,0.7538777875462678,0.8047904191616766,0.8135593220338984,0.8091511137868754,0.9061297009179745,139534,549.9345703125,0.1007639715589903,89.22002291679382
WATCH,P04,04_gravity_motion_separation,RandomForest,0.7499007542675665,0.6407644149562938,0.620162878352957,0.6054048364116246,0.7425695680645613,0.8326693227091634,0.7590799031476998,0.7941735275490817,0.9060422087308471,N/A,49179.3291015625,0.22210540374999255,0.7079689502716064
WATCH,P05,05_motion_magnitude_features,1D_CNN,0.6585946804287416,0.5485602395647289,0.5634372659282757,0.5493874896680572,0.6573728944006352,0.7191539365452408,0.7409200968523002,0.7298747763864043,0.8652186849152038,39054,160.16015625,0.018592447813716717,37.13964915275574
WATCH,P05,05_motion_magnitude_features,BiLSTM,0.7427550615323542,0.582386038279994,0.6310391246696948,0.5998098637037373,0.7345303462526617,0.8166666666666667,0.8305084745762712,0.8235294117647058,0.9128113879003559,140558,553.9345703125,0.10223431000213168,87.41073107719421
WATCH,P05,05_motion_magnitude_features,RandomForest,0.7459309249702263,0.629760440637999,0.6256648131549901,0.6055324833357556,0.735966931437966,0.8285340314136126,0.7663438256658596,0.7962264150943397,0.9060324825986079,N/A,44094.0478515625,0.23284023437554424,0.7595703601837158
