--------- beginning of main
09-02 19:01:18.982 23997   808 D WatchFallML: Activity=RUNNING, FallProb=0.3497, AccPeak=35.76, AccMin=2.14, AccRange=33.62, AccStd=7.86, GyroPeak=7.97, JerkPeak=597.2, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=1ms
09-02 19:01:19.548 23997   808 I WatchFallML: Potential impact collision detected! AccPeak=35.759438, JerkPeak=595.2667. Awaiting post-impact stillness confirmation.
09-02 19:01:19.549 23997   808 D WatchFallML: Activity=RUNNING, FallProb=0.4400, AccPeak=35.76, AccMin=2.43, AccRange=33.33, AccStd=7.04, GyroPeak=7.13, JerkPeak=595.3, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=1ms
09-02 19:01:19.688 23997   808 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.3958, AccPeak=19.10, AccMin=3.56, AccRange=15.55, AccStd=4.73, GyroPeak=7.13, JerkPeak=407.4, Impact=false, TemporalScore=3, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=3ms
09-02 19:01:20.317 23997   808 D WatchFallML: Activity=RUNNING, FallProb=0.3731, AccPeak=19.10, AccMin=4.32, AccRange=14.79, AccStd=3.63, GyroPeak=7.13, JerkPeak=407.4, Impact=false, TemporalScore=3, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 19:01:20.893 23997   808 D WatchFallML: Activity=WALKING, FallProb=0.1509, AccPeak=15.47, AccMin=4.32, AccRange=11.16, AccStd=2.25, GyroPeak=6.22, JerkPeak=112.1, Impact=false, TemporalScore=2, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=8ms
09-02 19:01:21.286 23997   808 D WatchFallML: Activity=WALKING, FallProb=0.1517, AccPeak=11.39, AccMin=7.75, AccRange=3.64, AccStd=0.46, GyroPeak=2.42, JerkPeak=65.7, Impact=false, TemporalScore=2, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=31ms
09-02 19:01:21.776 23997   808 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.2688, AccPeak=10.90, AccMin=9.05, AccRange=1.85, AccStd=0.30, GyroPeak=2.12, JerkPeak=56.1, Impact=false, TemporalScore=1, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-02 19:01:22.165 23997 23997 I WatchFallML: Starting 10-second emergency countdown on Wear OS...
09-02 19:01:22.166 23997   808 D WatchFallML: Activity=SITTING, FallProb=0.4133, AccPeak=10.99, AccMin=8.16, AccRange=2.83, AccStd=0.54, GyroPeak=2.71, JerkPeak=54.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=23ms
09-02 19:01:22.777 23997   808 D WatchFallML: Activity=SITTING, FallProb=0.3611, AccPeak=15.05, AccMin=4.70, AccRange=10.34, AccStd=1.47, GyroPeak=2.71, JerkPeak=169.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 19:01:22.913 23997   808 D WatchFallML: Activity=SITTING, FallProb=0.2678, AccPeak=28.31, AccMin=4.70, AccRange=23.61, AccStd=3.57, GyroPeak=2.71, JerkPeak=460.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=FALL_SUSPECTED, Latency=14ms
09-02 19:01:23.833 23997   808 D WatchFallML: Activity=RUNNING, FallProb=0.0358, AccPeak=30.31, AccMin=1.44, AccRange=28.87, AccStd=6.73, GyroPeak=2.71, JerkPeak=442.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=12ms
