--------- beginning of main
09-03 13:45:53.818  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.2377, AccPeak=14.99, AccMin=8.75, AccRange=6.24, AccStd=1.45, GyroPeak=2.90, JerkPeak=224.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=11ms
09-03 13:45:54.260  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.2181, AccPeak=11.13, AccMin=8.75, AccRange=2.38, AccStd=0.49, GyroPeak=1.06, JerkPeak=52.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:45:55.115  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.2816, AccPeak=9.98, AccMin=9.35, AccRange=0.63, AccStd=0.14, GyroPeak=0.65, JerkPeak=18.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:45:55.645  5595  6185 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.4500, AccPeak=9.87, AccMin=9.45, AccRange=0.42, AccStd=0.09, GyroPeak=0.15, JerkPeak=15.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:45:55.813  5595  6185 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.4100, AccPeak=10.81, AccMin=9.55, AccRange=1.26, AccStd=0.28, GyroPeak=0.54, JerkPeak=34.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=19ms
09-03 13:45:55.880  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.3100, AccPeak=10.81, AccMin=8.59, AccRange=2.22, AccStd=0.53, GyroPeak=0.70, JerkPeak=40.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-03 13:45:56.005  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.1855, AccPeak=13.33, AccMin=8.59, AccRange=4.74, AccStd=1.35, GyroPeak=1.93, JerkPeak=145.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:45:56.682  5595  6185 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.3761, AccPeak=13.33, AccMin=8.70, AccRange=4.63, AccStd=1.32, GyroPeak=3.27, JerkPeak=145.3, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=4ms
09-03 13:45:57.367  5595  6185 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.4777, AccPeak=13.11, AccMin=5.90, AccRange=7.20, AccStd=2.13, GyroPeak=3.27, JerkPeak=61.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=68ms
09-03 13:45:57.654  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.3637, AccPeak=10.27, AccMin=5.90, AccRange=4.37, AccStd=1.41, GyroPeak=1.76, JerkPeak=47.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=44ms
09-03 13:45:58.186  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.4006, AccPeak=10.27, AccMin=9.25, AccRange=1.02, AccStd=0.25, GyroPeak=1.56, JerkPeak=19.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:45:58.630  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.4700, AccPeak=9.87, AccMin=9.39, AccRange=0.48, AccStd=0.08, GyroPeak=0.29, JerkPeak=11.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=43ms
09-03 13:45:59.220  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.3167, AccPeak=10.19, AccMin=4.76, AccRange=5.42, AccStd=1.44, GyroPeak=2.77, JerkPeak=67.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:45:59.555  5595  6185 D WatchFallML: Activity=WALKING, FallProb=0.3216, AccPeak=14.28, AccMin=4.27, AccRange=10.01, AccStd=2.71, GyroPeak=2.77, JerkPeak=96.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=true, State=MONITORING, Latency=14ms
09-03 13:45:59.665  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.2119, AccPeak=14.28, AccMin=4.27, AccRange=10.01, AccStd=2.40, GyroPeak=2.62, JerkPeak=96.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=true, State=MONITORING, Latency=2ms
09-03 13:46:00.589  5595  6185 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.3556, AccPeak=12.46, AccMin=9.07, AccRange=3.39, AccStd=0.91, GyroPeak=2.12, JerkPeak=82.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:00.900  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.3500, AccPeak=10.65, AccMin=9.24, AccRange=1.41, AccStd=0.29, GyroPeak=0.90, JerkPeak=23.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:46:01.148  5595  6185 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.4200, AccPeak=10.34, AccMin=9.34, AccRange=1.00, AccStd=0.22, GyroPeak=0.42, JerkPeak=21.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:46:01.545  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.2942, AccPeak=11.01, AccMin=8.27, AccRange=2.73, AccStd=0.65, GyroPeak=1.07, JerkPeak=83.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:01.730  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.1431, AccPeak=12.76, AccMin=8.27, AccRange=4.49, AccStd=1.21, GyroPeak=2.33, JerkPeak=135.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:01.967  5595  6185 D WatchFallML: Activity=WALKING, FallProb=0.3183, AccPeak=13.83, AccMin=8.24, AccRange=5.59, AccStd=1.29, GyroPeak=2.73, JerkPeak=135.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:02.212  5595  6185 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.5421, AccPeak=13.83, AccMin=6.92, AccRange=6.91, AccStd=1.85, GyroPeak=2.73, JerkPeak=80.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=18ms
09-03 13:46:02.329  5595  6185 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.6882, AccPeak=10.01, AccMin=6.92, AccRange=3.09, AccStd=1.03, GyroPeak=1.79, JerkPeak=51.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=7ms
09-03 13:46:02.712  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.4406, AccPeak=10.01, AccMin=9.40, AccRange=0.61, AccStd=0.16, GyroPeak=1.09, JerkPeak=15.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-03 13:46:02.950  5595  6185 D WatchFallML: Activity=STANDING, FallProb=0.5310, AccPeak=10.00, AccMin=7.78, AccRange=2.22, AccStd=0.66, GyroPeak=3.02, JerkPeak=43.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=6ms
09-03 13:46:03.160  5595  6185 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.4308, AccPeak=14.79, AccMin=6.82, AccRange=7.97, AccStd=1.67, GyroPeak=3.19, JerkPeak=231.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:46:03.257  5595  5795 D WatchFallML: Activity=STANDING, FallProb=0.2282, AccPeak=15.67, AccMin=6.82, AccRange=8.85, AccStd=2.35, GyroPeak=3.19, JerkPeak=236.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=true, State=MONITORING, Latency=8ms
09-03 13:46:03.647  5595  5795 D WatchFallML: Activity=STANDING, FallProb=0.1201, AccPeak=15.67, AccMin=8.95, AccRange=6.72, AccStd=1.47, GyroPeak=2.68, JerkPeak=236.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:46:03.789  5595  5795 D WatchFallML: Activity=STANDING, FallProb=0.1740, AccPeak=10.71, AccMin=8.95, AccRange=1.76, AccStd=0.39, GyroPeak=1.04, JerkPeak=38.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:04.321  5595  5795 D WatchFallML: Activity=STANDING, FallProb=0.3500, AccPeak=10.50, AccMin=9.47, AccRange=1.03, AccStd=0.18, GyroPeak=0.63, JerkPeak=26.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:46:04.691  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.3900, AccPeak=10.17, AccMin=9.11, AccRange=1.06, AccStd=0.16, GyroPeak=0.26, JerkPeak=26.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:04.929  5595  5795 D WatchFallML: Activity=STANDING, FallProb=0.2600, AccPeak=10.17, AccMin=9.01, AccRange=1.17, AccStd=0.26, GyroPeak=1.16, JerkPeak=26.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:46:05.283  5595  5795 D WatchFallML: Activity=STANDING, FallProb=0.2030, AccPeak=12.32, AccMin=9.01, AccRange=3.31, AccStd=0.84, GyroPeak=1.75, JerkPeak=98.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=94ms
09-03 13:46:05.743  5595  5795 D WatchFallML: Activity=WALKING, FallProb=0.2654, AccPeak=12.89, AccMin=9.17, AccRange=3.71, AccStd=1.10, GyroPeak=3.04, JerkPeak=98.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
